impl,dtype,B,H,Hff,L,total_ms,total_std_ms,stage1_ms,stage2_ms,tflops,err_out_rel_l2,err_rel_max_norm,err_max_rel_elem
fused_single,fp16,32,1024,4096,2048,4.501420736312866,0.11552760113412291,3.1706783771514893,0.7668991982936859,366.38820014298915,inf,inf,inf
fused_batched,fp16,32,1024,4096,2048,3.688800024986267,0.12592302877421485,3.0356159925460817,0.7882752001285553,447.10134203334593,inf,inf,inf
fused_broadcast,fp16,32,1024,4096,2048,3.8071712017059327,0.0021577832052927736,3.014614391326904,0.77707839012146,433.2002303770814,inf,inf,inf
eager,fp16,1,2048,8192,128,0.07561919912695884,0.0014030171107080485,0.07505919858813286,0.02949440013617277,170.39193798346417,inf,inf,inf
fused_single,fp16,1,2048,8192,128,0.07188159972429276,0.0007761116702607928,0.04810879975557327,0.029731199890375138,179.25174088252075,inf,inf,inf
eager,fp16,2,2048,8192,128,0.11461439952254296,0.0015581393971301428,0.11427840068936349,0.04120000004768372,224.839146593718,inf,inf,inf
fused_single,fp16,2,2048,8192,128,0.1322496011853218,0.0014857563797622789,0.0927264004945755,0.041126399859786035,194.85732694111258,inf,inf,inf
fused_batched,fp16,2,2048,8192,128,0.09344960004091263,0.0014219954230664945,0.06348480060696601,0.040979199856519696,275.761520271011,inf,inf,inf
fused_broadcast,fp16,2,2048,8192,128,0.08097920045256615,0.0020510101581074805,0.05615359954535961,0.03307520039379597,318.2274415156118,inf,inf,inf
eager,fp16,4,2048,8192,128,0.19069760292768478,0.0011046112319734536,0.18933119922876357,0.061958400160074235,270.2687750697346,inf,inf,inf
fused_single,fp16,4,2048,8192,128,0.2324192002415657,0.0009914178411559041,0.16717440038919448,0.0621568001806736,221.7527962338401,inf,inf,inf
fused_batched,fp16,4,2048,8192,128,0.16389119774103164,0.001439974177000849,0.11153919994831085,0.0625184003263712,314.4745310449128,inf,inf,inf
fused_broadcast,fp16,4,2048,8192,128,0.13588160127401352,0.0011096445108635957,0.10192320048809052,0.041702399402856825,379.2979113343479,inf,inf,inf
eager,fp16,8,2048,8192,128,0.3506048023700714,0.0017279432498553918,0.3503008037805557,0.1106623999774456,294.00400224751496,inf,inf,inf
fused_single,fp16,8,2048,8192,128,0.4452991962432861,0.001249702376971203,0.32280960083007815,0.11054719910025597,231.48304774321528,inf,inf,inf
fused_batched,fp16,8,2048,8192,128,0.3109984040260315,0.0015220856551096055,0.21000960022211074,0.11069440096616745,331.44612245460894,inf,inf,inf
fused_broadcast,fp16,8,2048,8192,128,0.23693759888410568,0.0011063588666975184,0.18864000141620635,0.05643199943006039,435.04794338031417,inf,inf,inf
eager,fp16,16,2048,8192,128,0.67603839635849,0.0021671306623854067,0.6753215968608857,0.2064928025007248,304.9507710190446,inf,inf,inf
fused_single,fp16,16,2048,8192,128,0.8682655990123749,0.001941032330859441,0.6353952050209045,0.2073408007621765,237.43705893968254,inf,inf,inf
fused_batched,fp16,16,2048,8192,128,0.605129599571228,0.0017677784525387769,0.409103998541832,0.2081727996468544,340.6847563795856,inf,inf,inf
