impl,dtype,B,H,Hff,L,total_ms,total_std_ms,stage1_ms,stage2_ms,tflops,err_y_max,err_y_mean,err_y_rel_l2,err_out_max,err_out_mean,err_out_rel_l2,tf32,device
eager,bf16,1,1024,4096,512,0.05287039950489998,0.0017559418219375588,0.05201280005276203,0.021887999773025513,243.70729195654818,57.65625,0.760765552520752,0.0028710865519452817,855.015625,121.66334533691406,0.0033128616788818343,False,cuda
fused_single,bf16,1,1024,4096,512,0.044182400405406955,0.0019341731698052941,0.03190080001950264,0.020259200222790243,291.62973875958016,57.65625,0.757770299911499,0.0028696065129344833,855.015625,121.62388610839844,0.00331074800368065,False,cuda
eager,bf16,1,1024,4096,2048,0.12142079919576645,0.0014867812879510692,0.12109120041131974,0.03445120006799698,424.47099585387195,65.4365234375,0.7588523626327515,0.002877617216816184,919.03125,121.29800415039062,0.0033183998119937,False,cuda
fused_single,bf16,1,1024,4096,2048,0.12248959988355637,0.000567804914424232,0.09551040008664131,0.03450879976153374,420.76721289803925,65.4365234375,0.7558793425559998,0.002876143010221484,919.03125,121.23216247558594,0.00331685157157253,False,cuda
eager,bf16,1,2048,8192,128,0.07263999953866004,0.0010972675988308405,0.0718591995537281,0.028227199986577033,177.3802583952726,179.953125,1.5211259126663208,0.002875425628210562,2344.875,343.81561279296875,0.0033143598814287536,False,cuda
fused_single,bf16,1,2048,8192,128,0.06830400004982948,0.0012429531632324215,0.0454111997038126,0.029151999950408937,188.6405170795289,179.953125,1.5181117057800293,0.0028748597067978477,2344.875,343.85992431640625,0.003315088365012113,False,cuda
eager,bf16,1,2048,8192,512,0.11347519904375077,0.0016433203938494001,0.1139903984963894,0.041420799866318705,454.1927045409166,179.953125,1.516634225845337,0.0028690265810563252,2955.625,343.84844970703125,0.0033177068582329826,False,cuda
fused_single,bf16,1,2048,8192,512,0.12564800158143044,0.0035423705144949024,0.08994879946112633,0.0412032000720501,410.1904280475007,179.953125,1.5135902166366577,0.0028684785984332754,2955.625,343.7012634277344,0.0033163510332106048,False,cuda
eager,bf16,1,2048,8192,2048,0.3519487977027893,0.0013111966051780372,0.350873601436615,0.09689599946141243,585.762564195758,165.119140625,1.5185351371765137,0.00286925899959652,2730.1875,343.90972900390625,0.0033155621699856425,False,cuda
fused_single,bf16,1,2048,8192,2048,0.4001503974199295,0.0005587662400621219,0.31520319879055025,0.09954239875078201,515.2023627547502,165.119140625,1.5155543088912964,0.0028687263978816593,2730.1875,343.8794250488281,0.003314957140562371,False,cuda
eager,fp32,1,1024,4096,128,0.12625279948115348,0.0008749540233058798,0.1257920004427433,0.04279039986431599,25.514091451737286,0.0,0.0,0.0,0.0,0.0,0.0,False,cuda
fused_single,fp32,1,1024,4096,128,0.07430720031261444,0.0006802374183479845,0.03851840011775494,0.042969600111246106,43.350112215883904,4.728515625,0.15182700753211975,0.0004164482179890304,94.1240234375,15.433544158935547,0.0004172458005223012,False,cuda
eager,fp32,1,1024,4096,512,0.34004800021648407,0.001039362036585092,0.33938880264759064,0.10900799930095673,37.89142085763513,0.0,0.0,0.0,0.0,0.0,0.0,False,cuda
fused_single,fp32,1,1024,4096,512,0.16285439878702163,0.00038777407529025506,0.05961279943585396,0.10966400057077408,79.1191517328965,4.732421875,0.1519392430782318,0.0004168871579202503,105.30078125,15.470306396484375,0.00041773579006373164,False,cuda
eager,fp32,1,1024,4096,2048,1.1406975984573364,0.0014402716476835608,1.1400864124298096,0.3716511964797974,45.18253358444994,0.0,0.0,0.0,0.0,0.0,0.0,False,cuda
fused_single,fp32,1,1024,4096,2048,0.5616223931312561,0.0008842400133750172,0.19877439886331558,0.37174719870090484,91.76914628465455,5.04638671875,0.15152493119239807,0.00041715778730242175,110.9375,15.37007999420166,0.0004170646475801881,False,cuda
eager,fp32,1,2048,8192,128,0.3094239979982376,0.001654902469454361,0.3086304008960724,0.10375040024518967,41.6415726361127,0.0,0.0,0.0,0.0,0.0,0.0,False,cuda
fused_single,fp32,1,2048,8192,128,0.16920000165700913,0.000787059235347349,0.06637120097875596,0.10424639955163002,76.15190166557686,9.33233642578125,0.30254891514778137,0.0004161541342992555,268.6640625,43.52366256713867,0.00041585523764047557,False,cuda
eager,fp32,1,2048,8192,512,1.073852801322937,0.0009996355530642715,1.0737184047698975,0.35855679512023925,47.99503943976827,0.0,0.0,0.0,0.0,0.0,0.0,False,cuda
fused_single,fp32,1,2048,8192,512,0.5442399978637695,0.0010253699918396895,0.19115519672632217,0.3592672020196915,94.70014654252047,9.332550048828125,0.3026043176651001,0.00041624764147006523,268.78125,43.51042556762695,0.0004164863162163305,False,cuda
eager,fp32,1,2048,8192,2048,4.182345581054688,0.0016838580813932397,4.182284832000732,1.340227222442627,49.29253841238336,0.0,0.0,0.0,0.0,0.0,0.0,False,cuda
fused_single,fp32,1,2048,8192,2048,2.0414464235305787,0.0012740835676295697,0.7047040045261384,1.3315711975097657,100.98645148446236,9.5078125,0.30281639099121094,0.0004160295205676508,278.3515625,43.538291931152344,0.00041619239749207557,False,cuda
